date,base,currency,rate
2024-01-19,EUR,HUF,381.53
2024-01-19,EUR,IDR,16992.0
2024-01-19,EUR,ILS,4.0721
2024-01-19,EUR,INR,90.45
2024-01-19,EUR,ISK,148.9
2024-01-19,EUR,JPY,161.17
2024-01-19,EUR,KRW,1451.99
2024-01-19,EUR,MXN,18.6494
2024-01-19,EUR,MYR,5.1359
2024-01-19,EUR,NOK,11.41
2024-01-19,EUR,NZD,1.7798
2024-01-19,EUR,PHP,60.956
2024-01-19,EUR,PLN,4.3618
2024-01-19,EUR,RON,4.9776
2024-01-19,EUR,SEK,11.38
2024-01-19,EUR,SGD,1.4599
2024-01-19,EUR,THB,38.605
2024-01-19,EUR,TRY,32.871
2024-01-19,EUR,USD,1.0887
2024-01-19,EUR,ZAR,20.689
2024-01-22,EUR,AUD,1.652
2024-01-22,EUR,BGN,1.9558
2024-01-22,EUR,BRL,5.3738
2024-01-22,EUR,CAD,1.462
2024-01-22,EUR,CHF,0.9458
2024-01-22,EUR,CNY,7.8349
2024-01-22,EUR,CZK,24.758
2024-01-22,EUR,DKK,7.4585
2024-01-22,EUR,GBP,0.85575
2024-01-22,EUR,HKD,8.513
2024-01-22,EUR,HUF,383.68
2024-01-22,EUR,IDR,17076.0
2024-01-22,EUR,ILS,4.1003
2024-01-22,EUR,INR,90.53
2024-01-22,EUR,ISK,148.5
2024-01-22,EUR,JPY,160.95
2024-01-22,EUR,KRW,1458.19
2024-01-22,EUR,MXN,18.5897
2024-01-22,EUR,MYR,5.1472
2024-01-22,EUR,NOK,11.441
2024-01-22,EUR,NZD,1.78
2024-01-22,EUR,PHP,61.273
2024-01-22,EUR,PLN,4.364
2024-01-22,EUR,RON,4.9776
2024-01-22,EUR,SEK,11.3545
2024-01-22,EUR,SGD,1.4606
2024-01-22,EUR,THB,38.807
2024-01-22,EUR,TRY,32.934
2024-01-22,EUR,USD,1.089
2024-01-22,EUR,ZAR,20.885
2024-01-23,EUR,AUD,1.6493
2024-01-23,EUR,BGN,1.9558
2024-01-23,EUR,BRL,5.3981
2024-01-23,EUR,CAD,1.4648
2024-01-23,EUR,CHF,0.9446
2024-01-23,EUR,CNY,7.7953
2024-01-23,EUR,CZK,24.824
2024-01-23,EUR,DKK,7.4574
2024-01-23,EUR,GBP,0.85493
2024-01-23,EUR,HKD,8.5046
2024-01-23,EUR,HUF,385.15
2024-01-23,EUR,IDR,17081.0
2024-01-23,EUR,ILS,4.0931
2024-01-23,EUR,INR,90.37
2024-01-23,EUR,ISK,148.7
2024-01-23,EUR,JPY,160.88
